Timestamp,Motor_Position,Potentiometer_Data,Degree
2024-07-24 18:49:20,5,0,1.7307692307692308
2024-07-24 18:49:20,17,2,5.884615384615385
2024-07-24 18:49:20,17,1,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,2,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,1,5.884615384615385
2024-07-24 18:49:21,17,0,5.884615384615385
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,0,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,0,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,0,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,2,5.538461538461538
2024-07-24 18:49:22,16,0,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,0,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,0,5.538461538461538
2024-07-24 18:49:22,16,0,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:22,16,1,5.538461538461538
2024-07-24 18:49:23,16,1,5.538461538461538
2024-07-24 18:49:23,16,1,5.538461538461538
2024-07-24 18:49:23,16,0,5.538461538461538
2024-07-24 18:49:23,16,0,5.538461538461538
2024-07-24 18:49:23,16,0,5.538461538461538
2024-07-24 18:49:23,16,0,5.538461538461538
2024-07-24 18:49:23,16,2,5.538461538461538
2024-07-24 18:49:23,16,1,5.538461538461538
2024-07-24 18:49:23,16,0,5.538461538461538
2024-07-24 18:49:23,16,0,5.538461538461538
2024-07-24 18:49:23,16,1,5.538461538461538
2024-07-24 18:49:23,16,1,5.538461538461538
2024-07-24 18:49:23,16,0,5.538461538461538
2024-07-24 18:49:23,17,1,5.884615384615385
2024-07-24 18:49:23,17,0,5.884615384615385
2024-07-24 18:49:23,17,0,5.884615384615385
2024-07-24 18:49:23,17,0,5.884615384615385
2024-07-24 18:49:23,17,0,5.884615384615385
2024-07-24 18:49:23,17,0,5.884615384615385
2024-07-24 18:49:23,17,1,5.884615384615385
2024-07-24 18:49:23,17,1,5.884615384615385
2024-07-24 18:49:23,17,1,5.884615384615385
2024-07-24 18:49:23,18,1,6.230769230769231
2024-07-24 18:49:23,28,5,9.692307692307693
2024-07-24 18:49:24,43,9,14.884615384615385
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,10,18.346153846153847
2024-07-24 18:49:24,53,10,18.346153846153847
2024-07-24 18:49:24,53,10,18.346153846153847
2024-07-24 18:49:24,53,10,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,10,18.346153846153847
2024-07-24 18:49:24,53,10,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,8,18.346153846153847
2024-07-24 18:49:24,53,8,18.346153846153847
2024-07-24 18:49:24,53,8,18.346153846153847
2024-07-24 18:49:24,53,9,18.346153846153847
2024-07-24 18:49:24,53,10,18.346153846153847
2024-07-24 18:49:24,56,11,19.384615384615387
2024-07-24 18:49:24,65,12,22.5
2024-07-24 18:49:24,68,13,23.53846153846154
2024-07-24 18:49:24,68,12,23.53846153846154
2024-07-24 18:49:24,68,15,23.53846153846154
2024-07-24 18:49:25,68,13,23.53846153846154
2024-07-24 18:49:25,68,12,23.53846153846154
2024-07-24 18:49:25,68,11,23.53846153846154
2024-07-24 18:49:25,68,12,23.53846153846154
2024-07-24 18:49:25,68,13,23.53846153846154
2024-07-24 18:49:25,68,13,23.53846153846154
2024-07-24 18:49:25,68,13,23.53846153846154
2024-07-24 18:49:25,68,13,23.53846153846154
2024-07-24 18:49:25,68,14,23.53846153846154
2024-07-24 18:49:25,68,12,23.53846153846154
